m1    m2    nbkg    nsig
800    50    3    2
750    200    13    -4
400    250    718    -27
750    150    3    2
450    200    101    -30
750    250    3    2
450    300    536    -11
800    300    2    3
650    0    25    -6
750    300    21    -2
650    100    25    -6
750    400    35    -5
650    200    24    -5
750    50    3    2
650    300    31    -8
800    0    3    2
650    400    71    -12
800    100    3    2
700    150    23    -4
800    150    3    2
700    250    22    -3
800    200    3    2
700    350    36    -6
800    350    21    -2
700    50    4    1
800    400    20    -1
750    0    3    2
800    250    3    2
750    100    3    2
750    350    21    -2
200    100    6299    -897
500    200    74    -25
500    300    164    -20
500    400    5713    -311
250    50    1075    -308
550    0    47    -17
250    0    842    -264
400    300    5745    -343
250    100    1749    -359
450    150    93    -34
250    150    5934    -574
550    100    50    -18
450    250    164    -24
300    100    498    -126
450    350    4299    -224
300    150    1189    -189
450    50    76    -34
300    200    5850    -448
550    150    45    -15
300    50    424    -164
550    200    61    -19
350    0    204    -79
500    150    67    -25
350    100    222    -78
500    250    117    -19
350    150    293    -77
500    350    650    14
350    200    714    -41
500    50    70    -28
350    250    5780    -378
550    250    59    -17
350    50    198    -73
550    300    93    -15
400    0    113    -54
500    0    70    -28
400    100    154    -53
500    100    65    -26
400    200    183    -39
550    350    173    -17
550    400    654    19
550    50    47    -17
600    0    27    -8
600    100    27    -8
600    150    26    -7
600    200    25    -6
600    250    57    -15
600    300    55    -13
600    350    63    -14
600    400    123    -6
600    50    27    -8
650    150    25    -6
650    250    24    -5
650    350    53    -11
650    50    22    -7
700    0    3    2
700    100    3    2
700    200    23    -4
700    300    22    -3
700    400    52    -10
