m1    m2    nbkg    nsig    nexpsig
800    50    12    -1    2
750    200    12    -1    3
400    250    480    -6    39
750    150    12    -1    2
450    200    86    3    26
750    250    12    -1    2
450    300    480    -6    25
800    300    12    -1    2
650    0    21    -4    7
750    300    21    -4    3
650    100    21    -4    7
750    400    30    -1    3
650    200    21    -4    6
750    50    12    -1    3
650    300    30    -1    5
800    0    12    -1    2
650    400    66    6    5
800    100    12    -1    2
700    150    12    -1    4
800    150    12    -1    2
700    250    21    -4    4
800    200    12    -1    2
700    350    30    -1    4
800    350    21    -4    2
700    50    12    -1    4
800    400    21    -4    2
750    0    12    -1    3
800    250    12    -1    2
750    100    12    -1    3
750    350    21    -4    3
200    100    6967    -342    711
500    200    57    6    18
500    300    156    -3    17
500    400    5799    -288    22
250    50    645    -2    292
550    0    30    -1    14
250    0    450    -14    273
400    300    6137    -353    57
250    100    1151    -54    287
450    150    66    6    28
250    150    6967    -342    346
550    100    30    -1    13
450    250    180    -1    26
300    100    288    -2    125
450    350    6690    -358    38
300    150    526    1    112
450    50    66    6    34
300    200    6300    -346    172
550    150    30    -1    12
300    50    132    -6    112
550    200    39    1    12
350    0    132    -6    87
500    150    57    6    21
350    100    132    -6    72
500    250    97    0    19
350    150    207    -5    69
500    350    540    5    17
350    200    748    -3    78
500    50    39    1    21
350    250    6745    -346    100
550    250    39    1    10
350    50    86    3    66
550    300    86    3    12
400    0    66    6    49
500    0    30    -1    18
400    100    86    3    47
500    100    39    1    20
400    200    156    -3    38
550    350    132    -6    10
550    400    345    13    9
550    50    30    -1    14
600    0    21    -4    9
600    100    21    -4    9
600    150    21    -4    8
600    200    21    -4    7
600    250    39    1    9
600    300    57    6    9
600    350    66    6    7
600    400    97    0    6
600    50    21    -4    9
650    150    21    -4    6
650    250    21    -4    5
650    350    39    1    5
650    50    12    -1    5
700    0    12    -1    4
700    100    12    -1    4
700    200    21    -4    4
700    300    21    -4    4
700    400    30    -1    3
