m1    m2    nbkg    nsig    nexpsig
800    50    3    0    1
750    200    3    0    1
400    250    127    -6    56
750    150    3    0    1
450    200    36    3    31
750    250    3    0    1
450    300    195    -11    37
800    300    3    0    0
650    0    3    0    3
750    300    3    0    0
650    100    3    0    2
750    400    3    0    0
650    200    3    0    2
750    50    3    0    2
650    300    18    5    2
800    0    3    0    1
650    400    30    7    1
800    100    3    0    1
700    150    3    0    2
800    150    3    0    1
700    250    3    0    1
800    200    3    0    1
700    350    3    0    0
800    350    3    0    0
700    50    3    0    2
800    400    3    0    0
750    0    3    0    2
800    250    3    0    0
750    100    3    0    1
750    350    3    0    0
200    100    877    -32    835
500    200    24    7    9
500    300    259    4    12
500    400    4058    -20    15
250    50    111    8    305
550    0    3    0    5
250    0    71    16    304
400    300    3939    -1    60
250    100    234    4    303
450    150    30    7    18
250    150    1119    -22    349
550    100    18    5    10
450    250    63    16    11
300    100    122    3    139
450    350    4058    -20    31
300    150    331    -1    147
450    50    18    5    22
300    200    2427    -1    212
550    150    18    5    8
300    50    53    19    137
550    200    18    5    7
350    0    45    15    88
500    150    18    5    11
350    100    53    19    64
500    250    30    7    7
350    150    100    11    60
500    350    2690    -2    25
350    200    576    -29    84
500    50    18    5    16
350    250    3822    5    122
550    250    24    7    5
350    50    30    7    63
550    300    30    7    4
400    0    30    7    48
500    0    18    5    17
400    100    45    15    40
500    100    18    5    14
400    200    210    -6    39
550    350    438    -15    9
550    400    3939    -1    18
550    50    3    0    5
600    0    3    0    4
600    100    3    0    3
600    150    3    0    3
600    200    18    5    5
600    250    18    5    4
600    300    18    5    3
600    350    30    7    2
600    400    2019    11    11
600    50    3    0    4
650    150    3    0    2
650    250    3    0    1
650    350    24    7    2
650    50    3    0    3
700    0    3    0    2
700    100    3    0    2
700    200    3    0    1
700    300    3    0    1
700    400    18    5    1
