m1    m2    nbkg    nsig    nexpsig
800    50    3    12    0
750    200    3    12    0
400    250    2483    -76    71
750    150    3    12    0
450    200    3    12    3
750    250    3    12    0
450    300    3494    -146    45
800    300    3    12    0
650    0    3    12    2
750    300    3    12    0
650    100    3    12    1
750    400    3    12    0
650    200    3    12    1
750    50    3    12    1
650    300    3    12    0
800    0    3    12    0
650    400    2716    -105    8
800    100    3    12    0
700    150    3    12    1
800    150    3    12    0
700    250    3    12    0
800    200    3    12    0
700    350    3    12    0
800    350    3    12    0
700    50    3    12    1
800    400    3    12    0
750    0    3    12    1
800    250    3    12    0
750    100    3    12    0
750    350    3    12    0
200    100    706    36    731
500    200    3    12    2
500    300    2161    -14    28
500    400    3832    -145    12
250    50    334    25    409
550    0    3    12    4
250    0    140    -7    341
400    300    3814    -150    52
250    100    334    25    309
450    150    3    12    5
250    150    1374    18    353
550    100    3    12    3
450    250    1096    34    35
300    100    334    25    180
450    350    3792    -145    26
300    150    706    36    176
450    50    3    12    9
300    200    2586    -94    193
550    150    3    12    3
300    50    178    -12    179
550    200    3    12    2
350    0    27    9    57
500    150    3    12    4
350    100    88    -1    60
500    250    334    25    15
350    150    334    25    84
500    350    3832    -145    26
350    200    1623    26    117
500    50    3    12    6
350    250    3474    -149    103
550    250    3    12    1
350    50    27    9    48
550    300    645    45    11
400    0    3    12    16
500    0    3    12    7
400    100    27    9    24
500    100    3    12    5
400    200    360    27    40
550    350    2910    -133    18
550    400    3832    -145    14
550    50    3    12    4
600    0    3    12    3
600    100    3    12    2
600    150    3    12    2
600    200    3    12    1
600    250    3    12    1
600    300    3    12    0
600    350    1820    -7    11
600    400    3832    -145    13
600    50    3    12    3
650    150    3    12    1
650    250    3    12    1
650    350    3    12    0
650    50    3    12    2
700    0    3    12    1
700    100    3    12    1
700    200    3    12    1
700    300    3    12    0
700    400    9    10    0
