m1    m2    nbkg    nsig    nexpsig
400    250    6148    -143    59
200    100    3573    -186    1115
250    50    523    -36    275
250    0    463    -33    291
250    100    1232    -112    319
250    150    6046    -160    528
300    100    665    -46    136
300    150    2559    -161    182
300    200    6148    -143    199
300    50    443    -27    149
350    0    217    -15    68
350    100    404    -22    68
350    150    973    -79    76
350    200    4353    -183    104
350    250    6148    -143    73
350    50    288    -14    68
400    0    140    -9    34
400    100    288    -14    37
400    200    1664    -146    45
800    50    1    1    0
750    150    1    1    0
650    0    3    0    2
650    100    1    1    1
750    50    1    1    0
800    0    1    1    0
800    100    1    1    0
700    150    1    1    0
800    150    1    1    0
700    50    3    0    1
750    0    1    1    0
750    100    1    1    0
200    100    1023    -13    1022
250    50    132    -10    290
550    0    10    4    6
250    0    77    -4    280
250    100    374    -27    333
450    150    17    2    10
250    150    2439    39    554
550    100    10    4    5
300    100    132    -10    118
300    150    579    -29    153
450    50    10    4    13
550    150    10    4    4
300    50    84    -4    135
350    0    21    0    51
500    150    10    4    6
350    100    63    -2    53
350    150    231    -6    66
500    50    10    4    9
350    50    21    0    43
400    0    17    2    30
500    0    10    4    10
400    100    17    2    20
500    100    10    4    7
550    50    10    4    6
600    0    8    0    4
