m1    m2    nbkg    nsig    nexpsig
200    100    3243    -86    1083
250    50    471    -27    274
250    0    315    -2    263
250    100    1261    -37    326
250    150    5750    -201    512
300    100    674    -43    138
300    150    2084    -86    165
300    200    5853    -205    187
300    50    371    -10    140
350    0    165    6    58
350    100    455    -23    70
350    150    1168    -48    81
350    200    4969    -215    109
350    250    5853    -205    70
350    50    249    3    61
