# effective degrees of freedom
# calculated from model B of Hindmarsh& Philipsen,hep-ph/0501232 
# T[MeV] 	 g^(1/2) 	 gt^(1/2)
0.1995E-1	0.1835E1	0.1835E1
0.2239E-1	0.1835E1	0.1835E1
0.2512E-1	0.1835E1	0.1835E1
0.2818E-1	0.1835E1	0.1835E1
0.3162E-1	0.1835E1	0.1836E1
0.3548E-1	0.1834E1	0.1837E1
0.3981E-1	0.1834E1	0.1838E1
0.4467E-1	0.1833E1	0.1836E1
0.5012E-1	0.1832E1	0.1827E1
0.5623E-1	0.1835E1	0.1808E1
0.6310E-1	0.1845E1	0.1777E1
0.7079E-1	0.1869E1	0.1741E1
0.7943E-1	0.1910E1	0.1711E1
0.8913E-1	0.1972E1	0.1700E1
0.1000E0	0.2056E1	0.1719E1
0.1122E0	0.2159E1	0.1771E1
0.1259E0	0.2275E1	0.1853E1
0.1413E0	0.2397E1	0.1962E1
0.1585E0	0.2519E1	0.2088E1
0.1778E0	0.2636E1	0.2224E1
0.1995E0	0.2743E1	0.2362E1
0.2239E0	0.2838E1	0.2497E1
0.2512E0	0.2920E1	0.2622E1
0.2818E0	0.2989E1	0.2734E1
0.3162E0	0.3047E1	0.2833E1
0.3548E0	0.3094E1	0.2917E1
0.3981E0	0.3132E1	0.2988E1
0.4467E0	0.3163E1	0.3046E1
0.5012E0	0.3188E1	0.3094E1
0.5623E0	0.3207E1	0.3132E1
0.6310E0	0.3223E1	0.3161E1
0.7079E0	0.3236E1	0.3193E1
0.7943E0	0.3242E1	0.3205E1
0.8913E0	0.3253E1	0.3218E1
0.1000E1	0.3258E1	0.3237E1
0.1122E1	0.3263E1	0.3244E1
0.1259E1	0.3267E1	0.3252E1
0.1413E1	0.3270E1	0.3258E1
0.1585E1	0.3272E1	0.3263E1
0.1778E1	0.3274E1	0.3265E1
0.1995E1	0.3276E1	0.3271E1
0.2239E1	0.3276E1	0.3275E1
0.2512E1	0.3277E1	0.3274E1
0.2818E1	0.3278E1	0.3275E1
0.3162E1	0.3278E1	0.3276E1
0.3548E1	0.3279E1	0.3278E1
0.3981E1	0.3278E1	0.3279E1
0.4467E1	0.3278E1	0.3278E1
0.5012E1	0.3278E1	0.3278E1
0.5623E1	0.3279E1	0.3278E1
0.6310E1	0.3279E1	0.3279E1
0.7079E1	0.3278E1	0.3279E1
0.7943E1	0.3278E1	0.3280E1
0.8913E1	0.3278E1	0.3280E1
0.1000E2	0.3277E1	0.3278E1
0.1122E2	0.3278E1	0.3273E1
0.1259E2	0.3280E1	0.3263E1
0.1413E2	0.3285E1	0.3248E1
0.1585E2	0.3297E1	0.3228E1
0.1778E2	0.3318E1	0.3208E1
0.1995E2	0.3351E1	0.3194E1
0.2239E2	0.3395E1	0.3194E1
0.2512E2	0.3450E1	0.3211E1
0.2818E2	0.3513E1	0.3247E1
0.3162E2	0.3583E1	0.3302E1
0.3548E2	0.3654E1	0.3378E1
0.3981E2	0.3719E1	0.3457E1
0.4217E2	0.3745E1	0.3495E1
0.4467E2	0.3777E1	0.3531E1
0.4732E2	0.3807E1	0.3567E1
0.5012E2	0.3835E1	0.3605E1
0.5309E2	0.3863E1	0.3643E1
0.5623E2	0.3889E1	0.3678E1
0.5957E2	0.3914E1	0.3711E1
0.6310E2	0.3938E1	0.3742E1
0.6683E2	0.3962E1	0.3770E1
0.7079E2	0.3984E1	0.3794E1
0.7499E2	0.4008E1	0.3817E1
0.7943E2	0.4031E1	0.3831E1
0.8414E2	0.4056E1	0.3844E1
0.8913E2	0.4082E1	0.3853E1
0.9441E2	0.4112E1	0.3852E1
0.1000E3	0.4146E1	0.3853E1
0.1059E3	0.4185E1	0.3840E1
0.1122E3	0.4233E1	0.3816E1
0.1189E3	0.4292E1	0.3790E1
0.1259E3	0.4364E1	0.3748E1
0.1334E3	0.4458E1	0.3704E1
0.1413E3	0.4574E1	0.3256E1
0.1496E3	0.4899E1	0.2756E1
0.1585E3	0.5477E1	0.2742E1
0.1679E3	0.6164E1	0.3446E1
0.1778E3	0.6557E1	0.4348E1
0.1884E3	0.6928E1	0.5202E1
0.1995E3	0.7071E1	0.5909E1
0.2113E3	0.7250E1	0.6296E1
0.2239E3	0.7319E1	0.6419E1
0.2371E3	0.7395E1	0.6626E1
0.2512E3	0.7470E1	0.6773E1
0.2661E3	0.7529E1	0.6911E1
0.2818E3	0.7579E1	0.7013E1
0.2985E3	0.7625E1	0.7103E1
0.3162E3	0.7667E1	0.7177E1
0.3350E3	0.7709E1	0.7249E1
0.3548E3	0.7764E1	0.7327E1
0.3758E3	0.7822E1	0.7404E1
0.3981E3	0.7875E1	0.7470E1
0.4217E3	0.7920E1	0.7524E1
0.4467E3	0.7959E1	0.7572E1
0.4732E3	0.7999E1	0.7621E1
0.5012E3	0.8037E1	0.7672E1
0.5309E3	0.8091E1	0.7742E1
0.5623E3	0.8137E1	0.7806E1
0.5957E3	0.8181E1	0.7866E1
0.6310E3	0.8227E1	0.7922E1
0.6683E3	0.8252E1	0.7953E1
0.7079E3	0.8276E1	0.7978E1
0.7499E3	0.8307E1	0.8006E1
0.7943E3	0.8331E1	0.8027E1
0.8414E3	0.8371E1	0.8063E1
0.8913E3	0.8411E1	0.8101E1
0.9441E3	0.8451E1	0.8139E1
0.1000E4	0.8490E1	0.8179E1
0.1059E4	0.8529E1	0.8221E1
0.1122E4	0.8568E1	0.8263E1
0.1189E4	0.8605E1	0.8306E1
0.1259E4	0.8642E1	0.8350E1
0.1334E4	0.8677E1	0.8395E1
0.1413E4	0.8711E1	0.8439E1
0.1496E4	0.8744E1	0.8482E1
0.1585E4	0.8775E1	0.8525E1
0.1679E4	0.8804E1	0.8566E1
0.1778E4	0.8833E1	0.8607E1
0.1884E4	0.8855E1	0.8641E1
0.1995E4	0.8883E1	0.8680E1
0.2113E4	0.8904E1	0.8714E1
0.2239E4	0.8924E1	0.8750E1
0.2371E4	0.8943E1	0.8786E1
0.2512E4	0.8965E1	0.8824E1
0.2818E4	0.9009E1	0.8885E1
0.3162E4	0.9030E1	0.8922E1
0.3548E4	0.9049E1	0.8957E1
0.3981E4	0.9065E1	0.8987E1
0.4467E4	0.9078E1	0.9014E1
0.5012E4	0.9089E1	0.9037E1
0.5623E4	0.9098E1	0.9056E1
0.6310E4	0.9106E1	0.9070E1
0.7079E4	0.9112E1	0.9079E1
0.7943E4	0.9117E1	0.9085E1
0.8913E4	0.9122E1	0.9088E1
0.1000E5	0.9131E1	0.9089E1
0.1059E5	0.9131E1	0.9084E1
0.1122E5	0.9138E1	0.9084E1
0.1189E5	0.9144E1	0.9083E1
0.1259E5	0.9151E1	0.9081E1
0.1334E5	0.9160E1	0.9082E1
0.1413E5	0.9169E1	0.9080E1
0.1496E5	0.9181E1	0.9078E1
0.1585E5	0.9193E1	0.9077E1
0.1679E5	0.9208E1	0.9078E1
0.1778E5	0.9224E1	0.9080E1
0.1884E5	0.9241E1	0.9084E1
0.1995E5	0.9261E1	0.9089E1
0.2113E5	0.9282E1	0.9096E1
0.2239E5	0.9305E1	0.9105E1
0.2371E5	0.9329E1	0.9115E1
0.2512E5	0.9355E1	0.9127E1
0.2661E5	0.9383E1	0.9142E1
0.2818E5	0.9412E1	0.9158E1
0.2985E5	0.9443E1	0.9177E1
0.3162E5	0.9475E1	0.9199E1
0.3350E5	0.9508E1	0.9223E1
0.3548E5	0.9542E1	0.9250E1
0.3758E5	0.9577E1	0.9280E1
0.3981E5	0.9613E1	0.9312E1
0.4217E5	0.9649E1	0.9348E1
0.4467E5	0.9684E1	0.9385E1
0.4732E5	0.9720E1	0.9424E1
0.5012E5	0.9755E1	0.9465E1
0.5309E5	0.9789E1	0.9507E1
0.5623E5	0.9821E1	0.9549E1
0.5957E5	0.9853E1	0.9592E1
0.6310E5	0.9883E1	0.9635E1
0.6683E5	0.9912E1	0.9676E1
0.7079E5	0.9938E1	0.9717E1
0.7499E5	0.9964E1	0.9757E1
0.7943E5	0.9987E1	0.9794E1
0.8414E5	0.1001E2	0.9830E1
0.8913E5	0.1003E2	0.9864E1
0.9441E5	0.1005E2	0.9896E1
0.1000E6	0.1006E2	0.9926E1
0.1059E6	0.1008E2	0.9954E1
0.1122E6	0.1009E2	0.9979E1
0.1189E6	0.1011E2	0.1000E2
0.1259E6	0.1012E2	0.1002E2
0.1334E6	0.1013E2	0.1004E2
0.1413E6	0.1014E2	0.1006E2
0.1496E6	0.1015E2	0.1008E2
0.1585E6	0.1015E2	0.1009E2
0.1679E6	0.1016E2	0.1010E2
0.1778E6	0.1017E2	0.1011E2
0.1884E6	0.1017E2	0.1013E2
0.1995E6	0.1018E2	0.1014E2
0.2113E6	0.1018E2	0.1014E2
0.2239E6	0.1018E2	0.1015E2
0.2371E6	0.1019E2	0.1016E2
0.2512E6	0.1019E2	0.1017E2
0.2661E6	0.1019E2	0.1018E2
0.2818E6	0.1020E2	0.1017E2
0.2985E6	0.1020E2	0.1018E2
0.3162E6	0.1020E2	0.1019E2
0.3350E6	0.1020E2	0.1019E2
0.3548E6	0.1021E2	0.1019E2
0.3758E6	0.1021E2	0.1019E2
0.3981E6	0.1021E2	0.1020E2
0.4217E6	0.1021E2	0.1020E2
0.4467E6	0.1021E2	0.1020E2
0.4732E6	0.1021E2	0.1020E2
0.5012E6	0.1021E2	0.1020E2
0.5309E6	0.1021E2	0.1021E2
0.5623E6	0.1022E2	0.1021E2
0.5957E6	0.1022E2	0.1021E2
0.6310E6	0.1022E2	0.1021E2
0.6683E6	0.1022E2	0.1021E2
0.7079E6	0.1022E2	0.1021E2
0.7499E6	0.1022E2	0.1021E2
0.7943E6	0.1022E2	0.1021E2
0.8414E6	0.1022E2	0.1022E2
0.8913E6	0.1022E2	0.1022E2
0.9441E6	0.1022E2	0.1022E2
0.1000E7	0.1022E2	0.1022E2
0.1059E7	0.1022E2	0.1022E2
0.1122E7	0.1022E2	0.1022E2
0.1189E7	0.1022E2	0.1022E2
0.1259E7	0.1022E2	0.1022E2
0.1334E7	0.1022E2	0.1022E2
0.1413E7	0.1023E2	0.1022E2
0.1496E7	0.1023E2	0.1022E2
0.1585E7	0.1023E2	0.1022E2
0.1679E7	0.1023E2	0.1022E2
0.1778E7	0.1023E2	0.1022E2
0.1884E7	0.1023E2	0.1022E2
0.1995E7	0.1023E2	0.1022E2
0.2113E7	0.1023E2	0.1022E2
0.2239E7	0.1023E2	0.1023E2
0.2371E7	0.1023E2	0.1023E2
0.2512E7	0.1023E2	0.1023E2
0.2661E7	0.1023E2	0.1023E2
0.2818E7	0.1023E2	0.1023E2
0.2985E7	0.1023E2	0.1023E2
0.3162E7	0.1023E2	0.1023E2
0.3350E7	0.1023E2	0.1023E2
0.3548E7	0.1023E2	0.1023E2
0.3758E7	0.1023E2	0.1023E2
0.3981E7	0.1023E2	0.1023E2
0.4217E7	0.1023E2	0.1023E2
0.4467E7	0.1023E2	0.1023E2
0.4732E7	0.1023E2	0.1023E2
0.5012E7	0.1023E2	0.1023E2
0.5309E7	0.1023E2	0.1023E2
0.5623E7	0.1023E2	0.1023E2
0.5957E7	0.1023E2	0.1023E2
0.6310E7	0.1023E2	0.1023E2
0.6683E7	0.1023E2	0.1023E2
0.7079E7	0.1023E2	0.1023E2
0.7499E7	0.1023E2	0.1023E2
0.7943E7	0.1023E2	0.1023E2
0.8414E7	0.1024E2	0.1023E2
0.8913E7	0.1024E2	0.1023E2
0.9441E7	0.1024E2	0.1023E2
0.1000E8	0.1024E2	0.1023E2
0.1059E8	0.1024E2	0.1023E2
0.1122E8	0.1024E2	0.1023E2
0.1189E8	0.1024E2	0.1024E2
0.1259E8	0.1024E2	0.1024E2
