# Made with DarkSUSY version ds-4.1.2                                          
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10025262E+01
 -.21874558E+01 0.10028352E+01
 -.20723266E+01 0.10031820E+01
 -.19571973E+01 0.10035714E+01
 -.18420681E+01 0.10040087E+01
 -.17269388E+01 0.10044997E+01
 -.16118096E+01 0.10050510E+01
 -.14966803E+01 0.10056702E+01
 -.13815511E+01 0.10063658E+01
 -.12664218E+01 0.10071471E+01
 -.11512925E+01 0.10080250E+01
 -.10361633E+01 0.10090116E+01
 -.92103404E+00 0.10101203E+01
 -.80590478E+00 0.10113668E+01
 -.69077553E+00 0.10127683E+01
 -.57564627E+00 0.10143447E+01
 -.46051702E+00 0.10161179E+01
 -.34538776E+00 0.10181131E+01
 -.23025851E+00 0.10203574E+01
 -.11512925E+00 0.10228793E+01
 0.44408921E-15 0.10257049E+01
 0.11512925E+00 0.10288513E+01
 0.23025851E+00 0.10323161E+01
 0.34538776E+00 0.10360630E+01
 0.46051702E+00 0.10400054E+01
 0.57564627E+00 0.10439921E+01
 0.69077553E+00 0.10477991E+01
 0.80590478E+00 0.10511302E+01
 0.92103404E+00 0.10536286E+01
 0.10361633E+01 0.10548988E+01
 0.11512925E+01 0.10545345E+01
 0.12664218E+01 0.10521484E+01
 0.13815511E+01 0.10473983E+01
 0.14966803E+01 0.10400059E+01
 0.16118096E+01 0.10297628E+01
 0.17269388E+01 0.10165242E+01
 0.18420681E+01 0.10001870E+01
 0.19571973E+01 0.98065650E+00
 0.20723266E+01 0.95780151E+00
 0.21874558E+01 0.93140930E+00
 0.23025851E+01 0.90114814E+00
 0.24177143E+01 0.86655464E+00
 0.25328436E+01 0.82705962E+00
 0.26479729E+01 0.78206776E+00
 0.27631021E+01 0.73108920E+00
 0.28782314E+01 0.67391273E+00
 0.29933606E+01 0.61078610E+00
 0.30509252E+01 0.57723306E+00
 0.31084899E+01 0.54256668E+00
 0.31660545E+01 0.50700033E+00
 0.32236191E+01 0.47078750E+00
 0.32811838E+01 0.43421775E+00
 0.33387484E+01 0.39760724E+00
 0.33963130E+01 0.36129355E+00
 0.34538776E+01 0.32562318E+00
 0.34826600E+01 0.30813733E+00
 0.35114423E+01 0.29094074E+00
 0.35402246E+01 0.27407427E+00
 0.35690069E+01 0.25757716E+00
 0.35977892E+01 0.24148719E+00
 0.36265715E+01 0.22583854E+00
 0.36553538E+01 0.21066410E+00
 0.36841361E+01 0.19599348E+00
 0.37129185E+01 0.18185321E+00
 0.37417008E+01 0.16826649E+00
 0.37704831E+01 0.15525306E+00
 0.37992654E+01 0.14282902E+00
 0.38280477E+01 0.13100678E+00
 0.38568300E+01 0.11979502E+00
 0.38856123E+01 0.10919868E+00
 0.39143947E+01 0.99219245E-01
 0.39431770E+01 0.89853849E-01
 0.39719593E+01 0.81096901E-01
 0.39863504E+01 0.76943863E-01
 0.40007416E+01 0.72939264E-01
 0.40151328E+01 0.69081480E-01
 0.40295239E+01 0.65368708E-01
 0.40439151E+01 0.61798974E-01
 0.40583062E+01 0.58370141E-01
 0.40726974E+01 0.55079921E-01
 0.40870885E+01 0.51925878E-01
 0.41014797E+01 0.48905443E-01
 0.41158709E+01 0.46015922E-01
 0.41302620E+01 0.43254504E-01
 0.41446532E+01 0.40618273E-01
 0.41590443E+01 0.38104216E-01
 0.41734355E+01 0.35709236E-01
 0.41878266E+01 0.33430269E-01
 0.42022178E+01 0.31263859E-01
 0.42166090E+01 0.29206820E-01
 0.42310001E+01 0.27255813E-01
 0.42453913E+01 0.25407460E-01
 0.42597824E+01 0.23658361E-01
 0.42741736E+01 0.22005098E-01
 0.42885647E+01 0.20444243E-01
 0.43029559E+01 0.18972372E-01
 0.43173470E+01 0.17586070E-01
 0.43317382E+01 0.16281938E-01
 0.43461294E+01 0.15056605E-01
 0.43605205E+01 0.13906732E-01
 0.43749117E+01 0.12829021E-01
 0.43893028E+01 0.11820220E-01
 0.44036940E+01 0.10877132E-01
 0.44180851E+01 0.99966154E-02
 0.44324763E+01 0.91756308E-02
 0.44468675E+01 0.84111024E-02
 0.44612586E+01 0.77001325E-02
 0.44756498E+01 0.70398659E-02
 0.44900409E+01 0.64275283E-02
 0.45044321E+01 0.58604295E-02
 0.45188232E+01 0.53359656E-02
 0.45332144E+01 0.48516214E-02
 0.45476056E+01 0.44049722E-02
 0.45619967E+01 0.39936847E-02
 0.45763879E+01 0.36155182E-02
 0.45907790E+01 0.32683249E-02
 0.46051702E+01 0.29500499E-02
 0.46195613E+01 0.26587315E-02
 0.46267569E+01 0.25225930E-02
