# Made with DarkSUSY version trunk (rev 134)                                   
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10023185E+01
 -.21874558E+01 0.10026023E+01
 -.20723266E+01 0.10029210E+01
 -.19571973E+01 0.10032789E+01
 -.18420681E+01 0.10036809E+01
 -.17269388E+01 0.10041323E+01
 -.16118096E+01 0.10046395E+01
 -.14966803E+01 0.10052093E+01
 -.13815511E+01 0.10058497E+01
 -.12664218E+01 0.10065693E+01
 -.11512925E+01 0.10073784E+01
 -.10361633E+01 0.10082881E+01
 -.92103404E+00 0.10093113E+01
 -.80590478E+00 0.10104626E+01
 -.69077553E+00 0.10117582E+01
 -.57564627E+00 0.10132171E+01
 -.46051702E+00 0.10148603E+01
 -.34538776E+00 0.10167122E+01
 -.23025851E+00 0.10188004E+01
 -.11512925E+00 0.10211565E+01
 0.22204460E-15 0.10238170E+01
 0.11512925E+00 0.10268234E+01
 0.23025851E+00 0.10302238E+01
 0.34538776E+00 0.10340729E+01
 0.46051702E+00 0.10384320E+01
 0.57564627E+00 0.10433679E+01
 0.69077553E+00 0.10489483E+01
 0.80590478E+00 0.10552354E+01
 0.92103404E+00 0.10622762E+01
 0.10361633E+01 0.10700927E+01
 0.11512925E+01 0.10786759E+01
 0.12664218E+01 0.10879868E+01
 0.13815511E+01 0.10979720E+01
 0.14966803E+01 0.11085978E+01
 0.16118096E+01 0.11199076E+01
 0.17269388E+01 0.11321019E+01
 0.18420681E+01 0.11456270E+01
 0.19571973E+01 0.11612352E+01
 0.20723266E+01 0.11799626E+01
 0.21874558E+01 0.12029575E+01
 0.23025851E+01 0.12311344E+01
 0.24177143E+01 0.12646809E+01
 0.25328436E+01 0.13025341E+01
 0.26479729E+01 0.13419860E+01
 0.27631021E+01 0.13785934E+01
 0.28782314E+01 0.14064962E+01
 0.29933606E+01 0.14191615E+01
 0.31084899E+01 0.14104132E+01
 0.32236191E+01 0.13755394E+01
 0.33387484E+01 0.13122067E+01
 0.34538776E+01 0.12210082E+01
 0.35690069E+01 0.11055002E+01
 0.36265715E+01 0.10404474E+01
 0.36841361E+01 0.97174774E+00
 0.37417008E+01 0.90041674E+00
 0.37992654E+01 0.82751093E+00
 0.38568300E+01 0.75409529E+00
 0.39143947E+01 0.68120210E+00
 0.39431770E+01 0.64526079E+00
 0.39719593E+01 0.60981131E+00
 0.40007416E+01 0.57496244E+00
 0.40295239E+01 0.54081622E+00
 0.40583062E+01 0.50746729E+00
 0.40870885E+01 0.47500246E+00
 0.41158709E+01 0.44350024E+00
 0.41446532E+01 0.41303196E+00
 0.41734355E+01 0.38365598E+00
 0.42022178E+01 0.35542573E+00
 0.42310001E+01 0.32838429E+00
 0.42597824E+01 0.30256578E+00
 0.42885647E+01 0.27799543E+00
 0.43173470E+01 0.25468985E+00
 0.43461294E+01 0.23265724E+00
 0.43749117E+01 0.21189780E+00
 0.44036940E+01 0.19240486E+00
 0.44324763E+01 0.17416235E+00
 0.44612586E+01 0.15714978E+00
 0.44756498E+01 0.14909642E+00
 0.44900409E+01 0.14133988E+00
 0.45044321E+01 0.13387588E+00
 0.45188232E+01 0.12669987E+00
 0.45332144E+01 0.11980699E+00
 0.45476056E+01 0.11319213E+00
 0.45619967E+01 0.10684991E+00
 0.45763879E+01 0.10077476E+00
 0.45907790E+01 0.94960880E-01
 0.46051702E+01 0.89402291E-01
 0.46195613E+01 0.84092850E-01
 0.46339525E+01 0.79026614E-01
 0.46483437E+01 0.74196473E-01
 0.46627348E+01 0.69596249E-01
 0.46771260E+01 0.65219329E-01
 0.46915171E+01 0.61059029E-01
 0.47059083E+01 0.57108613E-01
 0.47202994E+01 0.53361308E-01
 0.47346906E+01 0.49810326E-01
 0.47490818E+01 0.46448872E-01
 0.47634729E+01 0.43270168E-01
 0.47778641E+01 0.40267463E-01
 0.47922552E+01 0.37434047E-01
 0.48066464E+01 0.34763269E-01
 0.48210375E+01 0.32248546E-01
 0.48354287E+01 0.29883376E-01
 0.48498199E+01 0.27661485E-01
 0.48642110E+01 0.25576295E-01
 0.48786022E+01 0.23621752E-01
 0.48929933E+01 0.21791784E-01
 0.49073845E+01 0.20080455E-01
