#......tp...... ...t_diff....
 0.10000000E-01 0.28185889E+01
 0.10471285E-01 0.28643153E+01
 0.10964782E-01 0.29096452E+01
 0.11481536E-01 0.29545176E+01
 0.12022644E-01 0.29988722E+01
 0.12589254E-01 0.30426494E+01
 0.13182567E-01 0.30857907E+01
 0.13803843E-01 0.31282391E+01
 0.14454398E-01 0.31699388E+01
 0.15135612E-01 0.32108358E+01
 0.15848932E-01 0.32508776E+01
 0.16595869E-01 0.32900140E+01
 0.17378008E-01 0.33281966E+01
 0.18197009E-01 0.33653795E+01
 0.19054607E-01 0.34015190E+01
 0.19952623E-01 0.34365737E+01
 0.20892961E-01 0.34705050E+01
 0.21877616E-01 0.35032768E+01
 0.22908677E-01 0.35348557E+01
 0.23988329E-01 0.35652110E+01
 0.25118864E-01 0.35943151E+01
 0.26302680E-01 0.36221430E+01
 0.27542287E-01 0.36486725E+01
 0.28840315E-01 0.36738846E+01
 0.30199517E-01 0.36977629E+01
 0.31622777E-01 0.37202942E+01
 0.33113112E-01 0.37414678E+01
 0.34673685E-01 0.37612763E+01
 0.36307805E-01 0.37797148E+01
 0.38018940E-01 0.37967814E+01
 0.39810717E-01 0.38124768E+01
 0.41686938E-01 0.38268046E+01
 0.43651583E-01 0.38397708E+01
 0.45708819E-01 0.38513842E+01
 0.47863009E-01 0.38616559E+01
 0.50118723E-01 0.38705996E+01
 0.52480746E-01 0.38782312E+01
 0.54954087E-01 0.38845690E+01
 0.57543994E-01 0.38896333E+01
 0.60255959E-01 0.38934468E+01
 0.63095734E-01 0.38960429E+01
 0.66069345E-01 0.38974295E+01
 0.69183097E-01 0.38976441E+01
 0.72443596E-01 0.38967164E+01
 0.75857758E-01 0.38946780E+01
 0.79432823E-01 0.38915615E+01
 0.83176377E-01 0.38874012E+01
 0.87096359E-01 0.38822325E+01
 0.91201084E-01 0.38760922E+01
 0.95499259E-01 0.38690177E+01
 0.10000000E+00 0.38610477E+01
 0.10471285E+00 0.38522215E+01
 0.10964782E+00 0.38425794E+01
 0.11481536E+00 0.38321620E+01
 0.12022644E+00 0.38210105E+01
 0.12589254E+00 0.38091667E+01
 0.13182567E+00 0.37966725E+01
 0.13803843E+00 0.37835700E+01
 0.14454398E+00 0.37699016E+01
 0.15135612E+00 0.37557095E+01
 0.15848932E+00 0.37410360E+01
 0.16595869E+00 0.37259231E+01
 0.17378008E+00 0.37104127E+01
 0.18197009E+00 0.36945462E+01
 0.19054607E+00 0.36783659E+01
 0.19952623E+00 0.36619099E+01
 0.20892961E+00 0.36452193E+01
 0.21877616E+00 0.36283334E+01
 0.22908677E+00 0.36112910E+01
 0.23988329E+00 0.35941296E+01
 0.25118864E+00 0.35768864E+01
 0.26302680E+00 0.35595972E+01
 0.27542287E+00 0.35422971E+01
 0.28840315E+00 0.35250202E+01
 0.30199517E+00 0.35077991E+01
 0.31622777E+00 0.34906658E+01
 0.33113112E+00 0.34736508E+01
 0.34673685E+00 0.34567833E+01
 0.36307805E+00 0.34400916E+01
 0.38018940E+00 0.34236022E+01
 0.39810717E+00 0.34073407E+01
 0.41686938E+00 0.33913311E+01
 0.43651583E+00 0.33755960E+01
 0.45708819E+00 0.33601568E+01
 0.47863009E+00 0.33450332E+01
 0.50118723E+00 0.33302436E+01
 0.52480746E+00 0.33158050E+01
 0.54954087E+00 0.33017329E+01
 0.57543994E+00 0.32880414E+01
 0.60255959E+00 0.32747430E+01
 0.63095734E+00 0.32618488E+01
 0.66069345E+00 0.32493687E+01
 0.69183097E+00 0.32373110E+01
 0.72443596E+00 0.32256826E+01
 0.75857758E+00 0.32144890E+01
 0.79432823E+00 0.32037345E+01
 0.83176377E+00 0.31934220E+01
 0.87096359E+00 0.31835533E+01
 0.91201084E+00 0.31741287E+01
 0.95499259E+00 0.31651475E+01
 0.10000000E+01 0.31566077E+01
 0.10471285E+01 0.31485066E+01
 0.10964782E+01 0.31408399E+01
 0.11481536E+01 0.31336027E+01
 0.12022644E+01 0.31267892E+01
 0.12589254E+01 0.31203925E+01
 0.13182567E+01 0.31144050E+01
 0.13803843E+01 0.31088184E+01
 0.14454398E+01 0.31036237E+01
 0.15135612E+01 0.30988113E+01
 0.15848932E+01 0.30943709E+01
 0.16595869E+01 0.30902920E+01
 0.17378008E+01 0.30865633E+01
 0.18197009E+01 0.30831735E+01
 0.19054607E+01 0.30801108E+01
 0.19952623E+01 0.30773631E+01
 0.20892961E+01 0.30749183E+01
 0.21877616E+01 0.30727641E+01
 0.22908677E+01 0.30708880E+01
 0.23988329E+01 0.30692776E+01
 0.25118864E+01 0.30679205E+01
 0.26302680E+01 0.30668044E+01
 0.27542287E+01 0.30659170E+01
 0.28840315E+01 0.30652463E+01
 0.30199517E+01 0.30647804E+01
 0.31622777E+01 0.30645077E+01
 0.33113112E+01 0.30308997E+01
 0.34673685E+01 0.29949282E+01
 0.36307805E+01 0.29585529E+01
 0.38018940E+01 0.29218003E+01
 0.39810717E+01 0.28846970E+01
 0.41686938E+01 0.28472699E+01
 0.43651583E+01 0.28095461E+01
 0.45708819E+01 0.27715532E+01
 0.47863009E+01 0.27333186E+01
 0.50118723E+01 0.26948701E+01
 0.52480746E+01 0.26562355E+01
 0.54954087E+01 0.26174428E+01
 0.57543994E+01 0.25785196E+01
 0.60255959E+01 0.25394939E+01
 0.63095734E+01 0.25003932E+01
 0.66069345E+01 0.24612449E+01
 0.69183097E+01 0.24220761E+01
 0.72443596E+01 0.23829138E+01
 0.75857758E+01 0.23437842E+01
 0.79432823E+01 0.23047134E+01
 0.83176377E+01 0.22657269E+01
 0.87096359E+01 0.22268494E+01
 0.91201084E+01 0.21881055E+01
 0.95499259E+01 0.21495185E+01
 0.10000000E+02 0.21111116E+01
 0.10471285E+02 0.20729069E+01
 0.10964782E+02 0.20349259E+01
 0.11481536E+02 0.19971890E+01
 0.12022644E+02 0.19597162E+01
 0.12589254E+02 0.19225263E+01
 0.13182567E+02 0.18856374E+01
 0.13803843E+02 0.18490666E+01
 0.14454398E+02 0.18128303E+01
 0.15135612E+02 0.17769437E+01
 0.15848932E+02 0.17414212E+01
 0.16595869E+02 0.17062765E+01
 0.17378008E+02 0.16715222E+01
 0.18197009E+02 0.16371699E+01
 0.19054607E+02 0.16032305E+01
 0.19952623E+02 0.15697140E+01
 0.20892961E+02 0.15366295E+01
 0.21877616E+02 0.15039852E+01
 0.22908677E+02 0.14717886E+01
 0.23988329E+02 0.14400462E+01
 0.25118864E+02 0.14087640E+01
 0.26302680E+02 0.13779470E+01
 0.27542287E+02 0.13475996E+01
 0.28840315E+02 0.13177254E+01
 0.30199517E+02 0.12883273E+01
 0.31622777E+02 0.12594077E+01
 0.33113112E+02 0.12309682E+01
 0.34673685E+02 0.12030098E+01
 0.36307805E+02 0.11755332E+01
 0.38018940E+02 0.11485381E+01
 0.39810717E+02 0.11220241E+01
 0.41686938E+02 0.10959901E+01
 0.43651583E+02 0.10704345E+01
 0.45708819E+02 0.10453553E+01
 0.47863009E+02 0.10207502E+01
 0.50118723E+02 0.99661640E+00
 0.52480746E+02 0.97295074E+00
 0.54954087E+02 0.94974975E+00
 0.57543994E+02 0.92700962E+00
 0.60255959E+02 0.90472628E+00
 0.63095734E+02 0.88289535E+00
