#......tp...... ...t_diff....
 0.10000000E-01 0.22742100E+01
 0.10471285E-01 0.23257117E+01
 0.10964782E-01 0.23771100E+01
 0.11481536E-01 0.24283464E+01
 0.12022644E-01 0.24793611E+01
 0.12589254E-01 0.25300945E+01
 0.13182567E-01 0.25804863E+01
 0.13803843E-01 0.26304766E+01
 0.14454398E-01 0.26800057E+01
 0.15135612E-01 0.27290141E+01
 0.15848932E-01 0.27774432E+01
 0.16595869E-01 0.28252355E+01
 0.17378008E-01 0.28723343E+01
 0.18197009E-01 0.29186843E+01
 0.19054607E-01 0.29642316E+01
 0.19952623E-01 0.30089241E+01
 0.20892961E-01 0.30527114E+01
 0.21877616E-01 0.30955451E+01
 0.22908677E-01 0.31373789E+01
 0.23988329E-01 0.31781688E+01
 0.25118864E-01 0.32178729E+01
 0.26302680E-01 0.32564522E+01
 0.27542287E-01 0.32938698E+01
 0.28840315E-01 0.33300918E+01
 0.30199517E-01 0.33650869E+01
 0.31622777E-01 0.33988265E+01
 0.33113112E-01 0.34312849E+01
 0.34673685E-01 0.34624394E+01
 0.36307805E-01 0.34922698E+01
 0.38018940E-01 0.35207594E+01
 0.39810717E-01 0.35478938E+01
 0.41686938E-01 0.35736620E+01
 0.43651583E-01 0.35980557E+01
 0.45708819E-01 0.36210696E+01
 0.47863009E-01 0.36427010E+01
 0.50118723E-01 0.36629503E+01
 0.52480746E-01 0.36818207E+01
 0.54954087E-01 0.36993177E+01
 0.57543994E-01 0.37154501E+01
 0.60255959E-01 0.37302286E+01
 0.63095734E-01 0.37436670E+01
 0.66069345E-01 0.37557812E+01
 0.69183097E-01 0.37665896E+01
 0.72443596E-01 0.37761128E+01
 0.75857758E-01 0.37843735E+01
 0.79432823E-01 0.37913966E+01
 0.83176377E-01 0.37972090E+01
 0.87096359E-01 0.38018392E+01
 0.91201084E-01 0.38053178E+01
 0.95499259E-01 0.38076768E+01
 0.10000000E+00 0.38089498E+01
 0.10471285E+00 0.38091719E+01
 0.10964782E+00 0.38083793E+01
 0.11481536E+00 0.38066097E+01
 0.12022644E+00 0.38039016E+01
 0.12589254E+00 0.38002946E+01
 0.13182567E+00 0.37958290E+01
 0.13803843E+00 0.37905460E+01
 0.14454398E+00 0.37844873E+01
 0.15135612E+00 0.37776951E+01
 0.15848932E+00 0.37702121E+01
 0.16595869E+00 0.37620811E+01
 0.17378008E+00 0.37533452E+01
 0.18197009E+00 0.37440474E+01
 0.19054607E+00 0.37342308E+01
 0.19952623E+00 0.37239383E+01
 0.20892961E+00 0.37132125E+01
 0.21877616E+00 0.37020958E+01
 0.22908677E+00 0.36906298E+01
 0.23988329E+00 0.36788561E+01
 0.25118864E+00 0.36668151E+01
 0.26302680E+00 0.36545470E+01
 0.27542287E+00 0.36420907E+01
 0.28840315E+00 0.36294847E+01
 0.30199517E+00 0.36167663E+01
 0.31622777E+00 0.36039717E+01
 0.33113112E+00 0.35911363E+01
 0.34673685E+00 0.35782942E+01
 0.36307805E+00 0.35654781E+01
 0.38018940E+00 0.35527198E+01
 0.39810717E+00 0.35400496E+01
 0.41686938E+00 0.35274964E+01
 0.43651583E+00 0.35150878E+01
 0.45708819E+00 0.35028500E+01
 0.47863009E+00 0.34908076E+01
 0.50118723E+00 0.34789838E+01
 0.52480746E+00 0.34674004E+01
 0.54954087E+00 0.34560774E+01
 0.57543994E+00 0.34450335E+01
 0.60255959E+00 0.34342858E+01
 0.63095734E+00 0.34238499E+01
 0.66069345E+00 0.34137397E+01
 0.69183097E+00 0.34039677E+01
 0.72443596E+00 0.33945449E+01
 0.75857758E+00 0.33854808E+01
 0.79432823E+00 0.33767833E+01
 0.83176377E+00 0.33684591E+01
 0.87096359E+00 0.33605132E+01
 0.91201084E+00 0.33529495E+01
 0.95499259E+00 0.33457704E+01
 0.10000000E+01 0.33389771E+01
 0.10471285E+01 0.33325695E+01
 0.10964782E+01 0.33265463E+01
 0.11481536E+01 0.33209053E+01
 0.12022644E+01 0.33156429E+01
 0.12589254E+01 0.33107547E+01
 0.13182567E+01 0.33062355E+01
 0.13803843E+01 0.33020788E+01
 0.14454398E+01 0.32982777E+01
 0.15135612E+01 0.32948243E+01
 0.15848932E+01 0.32917102E+01
 0.16595869E+01 0.32889264E+01
 0.17378008E+01 0.32864632E+01
 0.18197009E+01 0.32843105E+01
 0.19054607E+01 0.32824579E+01
 0.19952623E+01 0.32808945E+01
 0.20892961E+01 0.32796094E+01
 0.21877616E+01 0.32785911E+01
 0.22908677E+01 0.32778282E+01
 0.23988329E+01 0.32773093E+01
 0.25118864E+01 0.32770226E+01
 0.26302680E+01 0.32769567E+01
 0.27542287E+01 0.32770999E+01
 0.28840315E+01 0.32774409E+01
 0.30199517E+01 0.32779683E+01
 0.31622777E+01 0.32786711E+01
 0.33113112E+01 0.32481723E+01
 0.34673685E+01 0.32151690E+01
 0.36307805E+01 0.31814936E+01
 0.38018940E+01 0.31471774E+01
 0.39810717E+01 0.31122522E+01
 0.41686938E+01 0.30767503E+01
 0.43651583E+01 0.30407045E+01
 0.45708819E+01 0.30041478E+01
 0.47863009E+01 0.29671139E+01
 0.50118723E+01 0.29296365E+01
 0.52480746E+01 0.28917497E+01
 0.54954087E+01 0.28534877E+01
 0.57543994E+01 0.28148850E+01
 0.60255959E+01 0.27759760E+01
 0.63095734E+01 0.27367949E+01
 0.66069345E+01 0.26973762E+01
 0.69183097E+01 0.26577538E+01
 0.72443596E+01 0.26179615E+01
 0.75857758E+01 0.25780329E+01
 0.79432823E+01 0.25380009E+01
 0.83176377E+01 0.24978982E+01
 0.87096359E+01 0.24577567E+01
 0.91201084E+01 0.24578112E+01
 0.95499259E+01 0.24166673E+01
 0.10000000E+02 0.23756000E+01
 0.10471285E+02 0.23346381E+01
 0.10964782E+02 0.22938094E+01
 0.11481536E+02 0.22531408E+01
 0.12022644E+02 0.22126584E+01
 0.12589254E+02 0.21723871E+01
 0.13182567E+02 0.21323512E+01
 0.13803843E+02 0.20925735E+01
 0.14454398E+02 0.20530761E+01
 0.15135612E+02 0.20138800E+01
 0.15848932E+02 0.19750051E+01
 0.16595869E+02 0.19364702E+01
 0.17378008E+02 0.18982930E+01
 0.18197009E+02 0.18604903E+01
 0.19054607E+02 0.18230776E+01
 0.19952623E+02 0.17860695E+01
 0.20892961E+02 0.17494796E+01
 0.21877616E+02 0.17133204E+01
 0.22908677E+02 0.16776033E+01
 0.23988329E+02 0.16423388E+01
 0.25118864E+02 0.16075366E+01
 0.26302680E+02 0.15732051E+01
 0.27542287E+02 0.15393522E+01
 0.28840315E+02 0.15059845E+01
 0.30199517E+02 0.14731081E+01
 0.31622777E+02 0.14407280E+01
 0.33113112E+02 0.14088486E+01
 0.34673685E+02 0.13774734E+01
 0.36307805E+02 0.13466052E+01
 0.38018940E+02 0.13162462E+01
 0.39810717E+02 0.12863978E+01
 0.41686938E+02 0.12570609E+01
 0.43651583E+02 0.11411851E+01
 0.45708819E+02 0.11151895E+01
 0.47863009E+02 0.10896444E+01
