m1    m2    nbkg    nsig    nexpsig
800    50    2    3    1
750    200    10    -1    2
400    250    673    18    45
750    150    2    3    1
450    200    77    -6    24
750    250    2    3    1
450    300    510    15    25
800    300    2    3    0
650    0    18    1    6
750    300    18    1    3
650    100    18    1    6
750    400    32    -2    3
650    200    18    1    5
750    50    2    3    1
650    300    25    -2    5
800    0    2    3    1
650    400    66    -7    5
800    100    2    3    1
700    150    18    1    4
800    150    2    3    1
700    250    18    1    4
800    200    2    3    1
700    350    32    -2    4
800    350    18    1    2
700    50    2    3    1
800    400    18    1    2
750    0    2    3    1
800    250    2    3    1
750    100    2    3    1
750    350    18    1    2
200    100    5691    -289    608
500    200    56    -7    17
500    300    148    -4    16
500    400    5691    -289    22
250    50    770    -3    305
550    0    32    -2    14
250    0    551    27    291
400    300    5691    -289    53
250    100    1439    -49    309
450    150    66    -7    27
250    150    5634    -274    300
550    100    36    -4    14
450    250    141    -1    23
300    100    365    7    133
450    350    4268    -193    30
300    150    1037    -37    152
450    50    47    -5    29
300    200    5691    -289    159
550    150    32    -2    12
300    50    274    -14    149
550    200    47    -5    14
350    0    123    2    81
500    150    47    -5    19
350    100    148    -4    74
500    250    99    -1    18
350    150    224    -8    69
500    350    631    33    18
350    200    641    32    72
500    50    47    -5    23
350    250    5691    -289    89
550    250    47    -5    11
350    50    123    2    75
550    300    82    -4    11
400    0    66    -7    46
500    0    47    -5    22
400    100    104    -3    49
500    100    44    -5    20
400    200    148    -4    35
550    350    162    -6    11
550    400    641    32    12
550    50    32    -2    14
600    0    18    1    8
600    100    18    1    8
600    150    18    1    8
600    200    18    1    7
600    250    47    -5    9
600    300    47    -5    8
600    350    56    -7    7
600    400    116    1    6
600    50    18    1    8
650    150    18    1    6
650    250    18    1    5
650    350    47    -5    5
650    50    16    -1    6
700    0    2    3    1
700    100    2    3    1
700    200    18    1    4
700    300    18    1    3
700    400    47    -5    4
