m1    m2    PNNnbkg    PNNnsig    PNNnexpsig    NNnbkg    NNnsig    NNnexpsig    MaxOutnbkg    MaxOutnsig    MaxOutnexpsig
800    50    3    0    1    12    -1    2    2    3    1
750    200    3    0    1    12    -1    3    10    -1    2
400    250    127    -6    56    480    -6    39    673    18    45
750    150    3    0    1    12    -1    2    2    3    1
450    200    36    3    31    86    3    26    77    -6    24
750    250    3    0    1    12    -1    2    2    3    1
450    300    195    -11    37    480    -6    25    510    15    25
800    300    3    0    0    12    -1    2    2    3    0
650    0    3    0    3    21    -4    7    18    1    6
750    300    3    0    0    21    -4    3    18    1    3
650    100    3    0    2    21    -4    7    18    1    6
750    400    3    0    0    30    -1    3    32    -2    3
650    200    3    0    2    21    -4    6    18    1    5
750    50    3    0    2    12    -1    3    2    3    1
650    300    18    5    2    30    -1    5    25    -2    5
800    0    3    0    1    12    -1    2    2    3    1
650    400    30    7    1    66    6    5    66    -7    5
800    100    3    0    1    12    -1    2    2    3    1
700    150    3    0    2    12    -1    4    18    1    4
800    150    3    0    1    12    -1    2    2    3    1
700    250    3    0    1    21    -4    4    18    1    4
800    200    3    0    1    12    -1    2    2    3    1
700    350    3    0    0    30    -1    4    32    -2    4
800    350    3    0    0    21    -4    2    18    1    2
700    50    3    0    2    12    -1    4    2    3    1
800    400    3    0    0    21    -4    2    18    1    2
750    0    3    0    2    12    -1    3    2    3    1
800    250    3    0    0    12    -1    2    2    3    1
750    100    3    0    1    12    -1    3    2    3    1
750    350    3    0    0    21    -4    3    18    1    2
200    100    877    -32    835    6967    -342    711    5691    -289    608
500    200    24    7    9    57    6    18    56    -7    17
500    300    259    4    12    156    -3    17    148    -4    16
500    400    4058    -20    15    5799    -288    22    5691    -289    22
250    50    111    8    305    645    -2    292    770    -3    305
550    0    3    0    5    30    -1    14    32    -2    14
250    0    71    16    304    450    -14    273    551    27    291
400    300    3939    -1    60    6137    -353    57    5691    -289    53
250    100    234    4    303    1151    -54    287    1439    -49    309
450    150    30    7    18    66    6    28    66    -7    27
250    150    1119    -22    349    6967    -342    346    5634    -274    300
550    100    18    5    10    30    -1    13    36    -4    14
450    250    63    16    11    180    -1    26    141    -1    23
300    100    122    3    139    288    -2    125    365    7    133
450    350    4058    -20    31    6690    -358    38    4268    -193    30
300    150    331    -1    147    526    1    112    1037    -37    152
450    50    18    5    22    66    6    34    47    -5    29
300    200    2427    -1    212    6300    -346    172    5691    -289    159
550    150    18    5    8    30    -1    12    32    -2    12
300    50    53    19    137    132    -6    112    274    -14    149
550    200    18    5    7    39    1    12    47    -5    14
350    0    45    15    88    132    -6    87    123    2    81
500    150    18    5    11    57    6    21    47    -5    19
350    100    53    19    64    132    -6    72    148    -4    74
500    250    30    7    7    97    0    19    99    -1    18
350    150    100    11    60    207    -5    69    224    -8    69
500    350    2690    -2    25    540    5    17    631    33    18
350    200    576    -29    84    748    -3    78    641    32    72
500    50    18    5    16    39    1    21    47    -5    23
350    250    3822    5    122    6745    -346    100    5691    -289    89
550    250    24    7    5    39    1    10    47    -5    11
350    50    30    7    63    86    3    66    123    2    75
550    300    30    7    4    86    3    12    82    -4    11
400    0    30    7    48    66    6    49    66    -7    46
500    0    18    5    17    30    -1    18    47    -5    22
400    100    45    15    40    86    3    47    104    -3    49
500    100    18    5    14    39    1    20    44    -5    20
400    200    210    -6    39    156    -3    38    148    -4    35
550    350    438    -15    9    132    -6    10    162    -6    11
550    400    3939    -1    18    345    13    9    641    32    12
550    50    3    0    5    30    -1    14    32    -2    14
600    0    3    0    4    21    -4    9    18    1    8
600    100    3    0    3    21    -4    9    18    1    8
600    150    3    0    3    21    -4    8    18    1    8
600    200    18    5    5    21    -4    7    18    1    7
600    250    18    5    4    39    1    9    47    -5    9
600    300    18    5    3    57    6    9    47    -5    8
600    350    30    7    2    66    6    7    56    -7    7
600    400    2019    11    11    97    0    6    116    1    6
600    50    3    0    4    21    -4    9    18    1    8
650    150    3    0    2    21    -4    6    18    1    6
650    250    3    0    1    21    -4    5    18    1    5
650    350    24    7    2    39    1    5    47    -5    5
650    50    3    0    3    12    -1    5    16    -1    6
700    0    3    0    2    12    -1    4    2    3    1
700    100    3    0    2    12    -1    4    2    3    1
700    200    3    0    1    21    -4    4    18    1    4
700    300    3    0    1    21    -4    4    18    1    3
700    400    18    5    1    30    -1    3    47    -5    4
